,Start_Time,SPEED,Coolant Temp,Engine Load,Throttle_pos_b,End_Time
,Start_Time,SPEED,Coolant Temp,Engine Load,Throttle_pos_b,End_Time
14,1725083265.9328241,0.0 kilometer_per_hour,87 degree_Celsius,32.15686274509804 percent,4.5 degree,,,,15.294117647058824 percent,1725083266.1730723
15,1725083266.4731784,0.0 kilometer_per_hour,87 degree_Celsius,33.333333333333336 percent,1.5 degree,,,,15.294117647058824 percent,1725083266.713276
16,1725083267.0134742,0.0 kilometer_per_hour,87 degree_Celsius,32.94117647058823 percent,4.5 degree,,,,15.294117647058824 percent,1725083267.2538538
17,1725083267.5539026,0.0 kilometer_per_hour,87 degree_Celsius,32.549019607843135 percent,7.0 degree,,,,15.294117647058824 percent,1725083267.794143
18,1725083268.094161,0.0 kilometer_per_hour,87 degree_Celsius,32.549019607843135 percent,5.0 degree,,,,15.294117647058824 percent,1725083268.3345604
19,1725083268.6343472,0.0 kilometer_per_hour,87 degree_Celsius,32.15686274509804 percent,6.5 degree,,,,15.294117647058824 percent,1725083268.8749158
20,1725083269.175006,0.0 kilometer_per_hour,87 degree_Celsius,32.15686274509804 percent,7.0 degree,,,,15.294117647058824 percent,1725083269.4150918
21,1725083269.7150538,0.0 kilometer_per_hour,87 degree_Celsius,32.15686274509804 percent,2.0 degree,,,,15.294117647058824 percent,1725083269.9555564
22,1725083270.2555277,0.0 kilometer_per_hour,87 degree_Celsius,32.15686274509804 percent,4.0 degree,,,,15.294117647058824 percent,1725083270.495747
23,1725083270.795861,0.0 kilometer_per_hour,87 degree_Celsius,32.15686274509804 percent,0.5 degree,,,,15.294117647058824 percent,1725083271.0362911
24,1725083271.3362846,0.0 kilometer_per_hour,87 degree_Celsius,32.15686274509804 percent,7.0 degree,,,,15.294117647058824 percent,1725083271.5765948
25,1725083271.8764765,0.0 kilometer_per_hour,87 degree_Celsius,32.549019607843135 percent,2.0 degree,,,,15.686274509803921 percent,1725083272.116959
26,1725083272.4167926,0.0 kilometer_per_hour,87 degree_Celsius,32.94117647058823 percent,1.0 degree,,,,15.294117647058824 percent,1725083272.656905
27,1725083272.9571936,0.0 kilometer_per_hour,87 degree_Celsius,32.549019607843135 percent,4.0 degree,,,,15.294117647058824 percent,1725083273.1974547
28,1725083273.4974382,0.0 kilometer_per_hour,87 degree_Celsius,32.549019607843135 percent,5.0 degree,,,,15.294117647058824 percent,1725083273.7375495
29,1725083274.0377567,0.0 kilometer_per_hour,87 degree_Celsius,32.15686274509804 percent,4.0 degree,,,,15.294117647058824 percent,1725083274.2781365
30,1725083274.578104,0.0 kilometer_per_hour,87 degree_Celsius,32.15686274509804 percent,2.5 degree,,,,15.294117647058824 percent,1725083274.8183336
31,1725083275.1183925,0.0 kilometer_per_hour,87 degree_Celsius,32.94117647058823 percent,6.0 degree,,,,15.294117647058824 percent,1725083275.3587642
32,1725083275.6585858,0.0 kilometer_per_hour,87 degree_Celsius,32.549019607843135 percent,2.5 degree,,,,15.294117647058824 percent,1725083275.8989606
33,1725083276.1990488,0.0 kilometer_per_hour,87 degree_Celsius,32.549019607843135 percent,7.5 degree,,,,15.294117647058824 percent,1725083276.439249
34,1725083276.739198,0.0 kilometer_per_hour,88 degree_Celsius,32.15686274509804 percent,4.0 degree,,,,15.294117647058824 percent,1725083276.9795642
35,1725083277.2797968,0.0 kilometer_per_hour,88 degree_Celsius,32.15686274509804 percent,2.0 degree,,,,15.294117647058824 percent,1725083277.5200052
36,1725083277.81994,0.0 kilometer_per_hour,88 degree_Celsius,32.15686274509804 percent,4.5 degree,,,,15.294117647058824 percent,1725083278.060379
37,1725083278.360334,0.0 kilometer_per_hour,88 degree_Celsius,32.549019607843135 percent,1.0 degree,,,,15.294117647058824 percent,1725083278.6006649
